finalist,gross_sharpe,net7_sharpe,net20_sharpe_PRIMARY,net40_sharpe_STRESS,gross_cumulative,net20_cumulative,net40_cumulative,net20_max_drawdown,net40_max_drawdown,annualized_turnover,break_even_bps,headroom_over_primary_bps
ECON,0.33383194081474465,0.2517831886539663,0.09947404750285518,-0.13463177434511928,0.08176508001671623,-0.004681088529422506,-0.08423900380448712,-0.1852771279901071,-0.20137279283766696,26.302445779541294,28.49517132482251,8.495171324822511
BAL,0.7880637278657124,0.6566985127278212,0.41275669499459017,0.037636540845779894,0.24729858382901626,0.10535652143992547,-0.020494518079630653,-0.1279023547739344,-0.1570082198803987,38.18411367966592,42.007633744997996,22.007633744997996
SHARP,1.1323804073174017,0.8824468050980139,0.4183553566970235,-0.29517125576285136,0.3932477148286204,0.10722862425011614,-0.12011438129527041,-0.16566195039366827,-0.20388337664368694,72.68603539711462,31.723803492441256,11.723803492441256
