portfolio_mapping,window,holding_horizon,n_cells,median_break_even_bps,median_gross_sharpe,median_net20_sharpe,median_price_ic,cells_ge_20bps,median_ann_turnover,share_cells_ge_20bps
continuous_rank,development,10w,40,76.44335944207774,1.0106441824617045,0.800471486998841,0.03970116806497558,30,29.824087242677013,0.75
continuous_rank,development,12w,40,58.18712243217419,0.7460014984862482,0.5167045757399373,0.039312851527974674,28,27.322343901083137,0.7
continuous_rank,development,4w,40,74.85841737198623,1.8407959257536783,1.46972425459745,0.03464740722785545,37,49.22665696067398,0.925
continuous_rank,development,6w,40,71.94284564083,1.3502661653397543,1.0728880793550823,0.034536569496807654,31,39.00551731002518,0.775
continuous_rank,development,8w,40,70.51858580201701,1.2006822224240095,0.9562005434499665,0.0332900604309069,31,33.755315781140254,0.775
continuous_rank,evaluation,10w,40,38.0270033960109,0.6300250165616443,0.33088411498045867,0.03474893904639688,34,32.50993815055409,0.85
continuous_rank,evaluation,12w,40,34.65526960827127,0.5607540378275695,0.22113823691358914,0.03658689134035226,34,29.229944802710094,0.85
continuous_rank,evaluation,4w,40,39.11979786489199,0.9134641008250535,0.4796106509475675,0.027729207813834686,33,51.262334952056634,0.825
continuous_rank,evaluation,6w,40,44.043162899417815,0.9708876222845348,0.548227276739701,0.03693542807683742,35,41.20987464276047,0.875
continuous_rank,evaluation,8w,40,52.816175364345675,0.875163794078001,0.4460142983049498,0.040908023600243495,35,35.415372106120856,0.875
equal_weight_terciles,development,10w,40,80.26197350786552,1.0032174302198906,0.7926968364570754,0.03970116806497558,30,30.212636240533968,0.75
equal_weight_terciles,development,12w,40,69.61856833752196,0.7996897706053612,0.5726174667150534,0.039312851527974674,30,27.74814004809812,0.75
equal_weight_terciles,development,4w,40,73.35348364014989,1.645317726979577,1.3107243926551857,0.03464740722785545,38,50.01174965667347,0.95
equal_weight_terciles,development,6w,40,69.60827668736701,1.2965811201040796,0.9608994220036307,0.034536569496807654,31,39.59937832380725,0.775
equal_weight_terciles,development,8w,40,71.7532888180896,1.1814936270857868,0.8738044927275894,0.0332900604309069,31,34.225316308724224,0.775
equal_weight_terciles,evaluation,10w,40,38.12367938064611,0.5992196568663959,0.28147534934063717,0.03474893904639688,35,32.952807557590134,0.875
equal_weight_terciles,evaluation,12w,40,34.96246513827003,0.5099502556924218,0.18901137163781206,0.03658689134035226,34,29.675632551406697,0.85
equal_weight_terciles,evaluation,4w,40,32.54924153888062,0.906640775479411,0.4249330973162183,0.027729207813834686,32,52.45570455500809,0.8
equal_weight_terciles,evaluation,6w,40,45.09448301805753,0.9423835977641268,0.5258526084487884,0.03693542807683742,35,41.91365101513392,0.875
equal_weight_terciles,evaluation,8w,40,48.22519081693926,0.8655755757193428,0.4733725408872287,0.040908023600243495,35,36.01401982959934,0.875
