portfolio_mapping,window,decision_cadence,n_cells,median_break_even_bps,median_gross_sharpe,median_net20_sharpe,median_price_ic,cells_ge_20bps,median_ann_turnover,share_cells_ge_20bps
continuous_rank,development,12h,40,72.17350491184821,1.2245986420421107,0.9482634662576768,0.03697686259993917,31,35.17759829349589,0.775
continuous_rank,development,24h,40,73.81653123678737,1.0903792505560526,0.8209664382819676,0.03602830725493231,32,34.61317065755262,0.8
continuous_rank,development,48h,40,63.54983205258164,0.8361092985277863,0.5970774320917717,0.03458413538235343,32,33.1431647170158,0.8
continuous_rank,development,4h,40,71.15497121993204,1.2514723529656422,0.9593119367973513,0.0362298019262562,31,35.65364811790701,0.775
continuous_rank,development,8h,40,68.45759970930514,1.2458041712972896,0.9130117376744368,0.03588591233600179,31,35.44440606681038,0.775
continuous_rank,evaluation,12h,40,41.33253543326214,0.8571941272349577,0.44641614492836906,0.036155632115707007,35,38.121322429129826,0.875
continuous_rank,evaluation,24h,40,38.34663459997421,0.8144771146280424,0.39238920634217056,0.03500731239532195,35,37.53004297138564,0.875
continuous_rank,evaluation,48h,40,53.89330228179131,0.8297231251816142,0.4610763444403175,0.03802526021302295,35,35.67853406151926,0.875
continuous_rank,evaluation,4h,40,38.26662052630057,0.8309480051531604,0.33804229656370766,0.0364480916569639,34,38.85972630041006,0.85
continuous_rank,evaluation,8h,40,39.292319452749524,0.7985861387657027,0.3974488605786396,0.03664052928864784,32,38.53031917138128,0.8
equal_weight_terciles,development,12h,40,75.39730214993371,1.3578738222439042,0.979991059710795,0.03697686259993917,31,35.9814790364797,0.775
equal_weight_terciles,development,24h,40,77.40556373637739,1.1404820548013475,0.8203694161729691,0.03602830725493231,32,35.32561225317985,0.8
equal_weight_terciles,development,48h,40,68.78807560885762,0.8881242385368391,0.663230916384524,0.03458413538235343,34,33.53407465565947,0.85
equal_weight_terciles,development,4h,40,69.55346037317896,1.407048541120051,1.0325978895447276,0.0362298019262562,32,36.50016630900605,0.8
equal_weight_terciles,development,8h,40,65.94850834246184,1.3586120021052879,0.9691375880017914,0.03588591233600179,31,36.19820801022818,0.775
equal_weight_terciles,evaluation,12h,40,39.3727152414578,0.8272501034995233,0.42854180171700285,0.036155632115707007,35,38.716718003451106,0.875
equal_weight_terciles,evaluation,24h,40,40.474398746574266,0.7866923945293962,0.41268776622464864,0.03500731239532195,34,38.07043464411535,0.85
equal_weight_terciles,evaluation,48h,40,48.175868939827645,0.7150922696548112,0.42706033711772884,0.03802526021302295,34,36.11867247048572,0.85
equal_weight_terciles,evaluation,4h,40,34.308976575390204,0.7887252121240711,0.2955046227879743,0.0364480916569639,34,39.70360123977396,0.85
equal_weight_terciles,evaluation,8h,40,36.65862026455383,0.7596338894198327,0.31274020334058966,0.03664052928864784,34,39.14863415728021,0.85
