finalist,largest_single_name_share_pct,top3_absolute_share_pct,top5_absolute_share_pct,top10_absolute_share_pct,absolute_contribution_hhi,effective_asset_count_from_hhi,n_assets_with_nonzero_contribution
ECON,5.917652228055892,14.984273473325066,22.77184608685367,38.301624138469734,0.02677143696911554,37.35324335236972,65
BAL,6.599657663804134,15.387232447819615,22.72871010935281,38.14125104259497,0.02740050681825668,36.49567530384913,65
SHARP,6.186177849433365,15.344005753126849,23.3009575423092,39.14533323109373,0.0272501498091628,36.69704596133091,65
