window,formation_horizon,holding_horizon,holding_days,decision_cadence,cadence_hours,portfolio_mapping,decision_observations,available_entries,effective_portfolio_refreshes,max_active_cohorts,mean_price_ic_repro,median_price_ic,price_ic_hac_t,n_price_ic,timestamp_ic_undefined,median_ic_assets,gross_sharpe_ann_repro,gross_ann_return,gross_ann_vol,mean_turnover_per_decision,annualized_turnover,total_turnover,break_even_cost_bps_repro,net20_sharpe_ann_repro,net20_ann_return,complete_pnl_rows,incomplete_pnl_rows,first_decision,last_decision,final_expiry,passes_20bps_cell_gate,finalist,mean_price_ic_frozen,gross_sharpe_ann_frozen,break_even_cost_bps_frozen,net20_sharpe_ann_frozen,mean_price_ic_abs_diff,mean_price_ic_pass,gross_sharpe_ann_abs_diff,gross_sharpe_ann_pass,break_even_cost_bps_abs_diff,break_even_cost_bps_pass,net20_sharpe_ann_abs_diff,net20_sharpe_ann_pass,frozen_gate_pass
development,3d,8w,56.0,48h,48,equal_weight_terciles,475,475,503,28,0.04377137227365022,0.0391304347826087,3.3486098776678643,475,0,25.0,1.4502954600166675,0.38998869428606014,0.2689029270501737,0.20870057150545263,38.113941871183286,103.0980823236936,102.32179489703161,1.1665666133388248,0.3137608105436935,494,9,2020-04-02 00:00:00+00:00,2022-11-06 00:00:00+00:00,2023-01-01 00:00:00+00:00,True,BAL,0.043771,1.450295,102.321795,1.166567,3.722736502259627e-07,True,4.600166676471673e-07,True,1.0296838581780321e-07,True,3.86661175078018e-07,True,True
evaluation,3d,8w,56.0,48h,48,equal_weight_terciles,338,338,366,28,0.04350129961160876,0.051153846153846154,2.5604332647762105,338,0,25.0,1.4165664161337554,0.294648180067423,0.20800166989106542,0.2210410173839371,40.367615799741515,80.90101236252099,72.9912268113961,1.028727518512559,0.21391294846794004,366,0,2023-01-01 00:00:00+00:00,2024-11-05 00:00:00+00:00,2024-12-31 00:00:00+00:00,True,BAL,0.043501,1.416566,72.991227,1.028728,2.996116087589096e-07,True,4.161337554542399e-07,True,1.8860389161545754e-07,True,4.814874410286052e-07,True,True
development,2w,6w,42.0,24h,24,continuous_rank,964,964,1006,42,0.03494716135389057,0.047692307692307694,1.432335195167172,964,0,25.0,0.7870827849551735,0.2004647857392979,0.25469339384765594,0.06773186826134923,24.739064882457807,66.85135397395169,81.03167467798883,0.5928138877899087,0.1509866559743823,987,19,2020-04-01 00:00:00+00:00,2022-11-20 00:00:00+00:00,2023-01-01 00:00:00+00:00,True,ECON,0.034947,0.787083,81.031675,0.592814,1.6135389056814997e-07,True,2.1504482650147594e-07,True,3.2201117505792354e-07,True,1.1221009121875625e-07,True,True
evaluation,2w,6w,42.0,24h,24,continuous_rank,690,690,732,42,0.053920188592857736,0.05692307692307692,2.7871479444373963,689,1,25.0,0.9152405547936437,0.20100590153705902,0.21962084228487794,0.06968823410018193,25.45362750509145,50.94209912723299,78.96945199534021,0.683477646564803,0.1500986465268761,731,1,2023-01-01 00:00:00+00:00,2024-11-20 00:00:00+00:00,2025-01-01 00:00:00+00:00,True,ECON,0.05392,0.915241,78.969452,0.683478,1.8859285773331624e-07,True,4.4520635622546934e-07,True,4.659796104533598e-09,True,3.5343519699804204e-07,True,True
development,1d,8w,56.0,8h,8,equal_weight_terciles,2848,2842,3016,168,0.03424665326317162,0.03538461538461538,4.838105061896585,2839,9,25.0,2.1296996909136245,0.49060425331242546,0.23036311429521786,0.06127076667548282,67.1374425846603,181.05511552605174,73.07461148728947,1.5465947611502804,0.35632936814310495,2955,61,2020-04-01 00:00:00+00:00,2022-11-06 00:00:00+00:00,2023-01-01 00:00:00+00:00,True,SHARP,0.034247,2.1297,73.074611,1.546595,3.4673682838132214e-07,True,3.090863756050055e-07,True,4.872894692198315e-07,True,2.3884971955823175e-07,True,True
evaluation,1d,8w,56.0,8h,8,equal_weight_terciles,2026,2026,2194,168,0.04293566330284753,0.046153846153846156,4.187973374835461,2025,1,25.0,1.9391865164021167,0.41466409421181794,0.21383404365928033,0.0621263933264777,68.07499548748794,136.2431805649656,60.912834623401835,1.3026120933821432,0.2785141032368421,2193,1,2023-01-01 00:00:00+00:00,2024-11-06 00:00:00+00:00,2025-01-01 00:00:00+00:00,True,SHARP,0.042936,1.939187,60.912835,1.302612,3.3669715247125476e-07,True,4.835978832939958e-07,True,3.7659816598534235e-07,True,9.338214312926141e-08,True,True
