portfolio_mapping,window,formation_horizon,n_cells,median_break_even_bps,median_gross_sharpe,median_net20_sharpe,median_price_ic,median_ic_hac_t,cells_ge_20bps,median_ann_turnover,share_cells_ge_20bps
continuous_rank,development,12h,25,49.61774393397339,1.5800774959605957,0.9572123849373728,0.0265748855032662,4.734438755343121,23,77.03183748313315,0.92
continuous_rank,development,1d,25,66.68018810202328,1.7863864893873775,1.2535207896166987,0.03518891338059485,4.718983200181946,24,62.991435649944236,0.96
continuous_rank,development,1m,25,-0.9018833167384531,-0.0061002124285153255,-0.14876869468757206,0.002782053368262957,0.08488519369176561,5,17.118383045584604,0.2
continuous_rank,development,1w,25,98.95357862263594,1.1865168546227138,0.9551887019625602,0.041950166045864226,2.1537282443296646,25,28.88230504813337,1.0
continuous_rank,development,2d,25,88.11200221930704,1.8194087066925047,1.4072674024501821,0.04063137819691937,4.011243797273059,25,48.97833096483924,1.0
continuous_rank,development,2w,25,80.99006688874778,0.677228100571789,0.5014837692439552,0.03979668696223881,1.4749505704789756,25,21.882034608102785,1.0
continuous_rank,development,3d,25,102.12833913631286,1.713682451044431,1.3667301160812368,0.044817537484631464,3.664748602450064,25,41.17793686890774,1.0
continuous_rank,development,3m,25,-24.625927076989036,-0.09223928371440156,-0.15700859226907307,-0.021815629336280593,-0.4896145607096763,5,10.66460300792354,0.2
continuous_rank,evaluation,12h,25,31.635922251255444,1.1933290636129128,0.47335217841827626,0.02940648925227839,3.008296436892786,21,81.31911139216159,0.84
continuous_rank,evaluation,1d,25,40.590793493383934,1.3486016270565861,0.6583258746120575,0.03742395262724299,3.116292496328237,25,67.05806056747329,1.0
continuous_rank,evaluation,1m,25,45.73196281164568,0.38286742486338493,0.21538446088532728,0.041851020599199096,1.1416223891438306,25,16.95510719406909,1.0
continuous_rank,evaluation,1w,25,47.53386390686717,0.7170615312183137,0.399291492380814,0.041077661848971665,1.9717792653076365,25,30.257657182171627,1.0
continuous_rank,evaluation,2d,25,37.41047582018303,1.0717155530591667,0.42728045432668926,0.033972077953700774,2.2280779855818396,25,52.497817997731694,1.0
continuous_rank,evaluation,2w,25,58.629282219918025,0.6297298102284712,0.4222352850186609,0.04875754786392058,1.9216819856150156,25,22.21341336508766,1.0
continuous_rank,evaluation,3d,25,41.43211943265471,0.9980094798809016,0.5282963926024229,0.03514204126758357,1.815401630650403,25,43.5902803940717,1.0
continuous_rank,evaluation,3m,25,-10.726416789303475,-0.05577940657221739,-0.15192692136648317,-0.04284470869978118,-0.6758664290952401,0,10.876553855831395,0.0
equal_weight_terciles,development,12h,25,48.07046583686145,1.617078422250798,0.9561881848929125,0.0265748855032662,4.734438755343121,23,76.41118432464118,0.92
equal_weight_terciles,development,1d,25,67.80946657975329,1.91233485715607,1.4172751177294929,0.03518891338059485,4.718983200181946,25,60.44055772382133,1.0
equal_weight_terciles,development,1m,25,1.7801022603337724,0.013694261313787077,-0.14112691580253597,0.002782053368262957,0.08488519369176561,5,17.467011312057867,0.2
equal_weight_terciles,development,1w,25,91.12218768966274,1.0818797020444009,0.8091673464964771,0.041950166045864226,2.1537282443296646,25,30.049438634825815,1.0
equal_weight_terciles,development,2d,25,85.21131065018687,1.9067543559267788,1.4845823024886013,0.04063137819691937,4.011243797273059,25,49.881153944885355,1.0
equal_weight_terciles,development,2w,25,80.86559190096965,0.7651457701382697,0.5699306065231537,0.03979668696223881,1.4749505704789756,25,22.700723745798257,1.0
equal_weight_terciles,development,3d,25,98.78891915331627,1.7637573997947649,1.3906248340180418,0.044817537484631464,3.664748602450064,25,41.86634270829614,1.0
equal_weight_terciles,development,3m,25,0.15001136576192273,0.0005490548375507022,-0.06918308900382603,-0.021815629336280593,-0.4896145607096763,7,10.653207469828375,0.28
equal_weight_terciles,evaluation,12h,25,33.06344623800682,1.3303927708417873,0.5206193060396667,0.02940648925227839,3.008296436892786,23,80.48260070386125,0.92
equal_weight_terciles,evaluation,1d,25,41.987300526540324,1.4781370061272892,0.6709506905380033,0.03742395262724299,3.116292496328237,25,64.28623284425537,1.0
equal_weight_terciles,evaluation,1m,25,43.01136065196113,0.3651628984450795,0.18932362874538264,0.041851020599199096,1.1416223891438306,25,17.17241779163652,1.0
equal_weight_terciles,evaluation,1w,25,40.121385762772476,0.6529567872196282,0.27918941982315176,0.041077661848971665,1.9717792653076365,25,31.31316694114209,1.0
equal_weight_terciles,evaluation,2d,25,30.163792819043003,0.8604862661120803,0.3300177539165776,0.033972077953700774,2.2280779855818396,23,53.11799316888588,0.92
equal_weight_terciles,evaluation,2w,25,49.85318677338507,0.6900961339252774,0.4222750304439076,0.04875754786392058,1.9216819856150156,25,22.936144323129653,1.0
equal_weight_terciles,evaluation,3d,25,42.18821390321747,1.09819315568687,0.5614069326217472,0.03514204126758357,1.815401630650403,25,44.27826395726757,1.0
equal_weight_terciles,evaluation,3m,25,-45.29811307004076,-0.25099998310100285,-0.36178810626364233,-0.04284470869978118,-0.6758664290952401,0,11.045867626186645,0.0
