finalist,correlation_BTC,beta_BTC,beta_hac_t_BTC,r_squared_BTC,correlation_Crypto_market_EW,beta_Crypto_market_EW,beta_hac_t_Crypto_market_EW,r_squared_Crypto_market_EW,alpha_per_48h_BTC,alpha_hac_t_BTC,alpha_per_48h_Crypto_market_EW,alpha_hac_t_Crypto_market_EW
BAL,-0.4595746955439017,-0.2162407389170476,-6.640757159874419,0.2112089007842699,-0.67385134627129,-0.1798376772750179,-10.290810407136547,0.45407563687163033,0.00027486542957494306,0.4465342900941767,-3.468118136705403e-05,-0.06311423844374814
ECON,-0.33949524671706754,-0.17485393716248968,-3.822066827123839,0.11525702254348247,-0.5329646153278249,-0.15569521646634327,-7.297171600708116,0.2840512811915369,5.037760006927484e-05,0.0619308736339082,-0.00022868994929827973,-0.29752489899575185
SHARP,-0.4333034638091147,-0.21004174977213147,-5.524257185193011,0.18775189174897666,-0.6492589743037778,-0.17851166630199855,-9.67662480636325,0.4215372157139937,0.00032106335954248147,0.5049733670503826,9.671945560853922e-06,0.016295793119608982
