finalist,positive_net20_months,total_pnl_months,positive_net20_month_pct,positive_ic_months,months_with_observable_ic,positive_ic_month_pct,median_monthly_net20_return,best_month,best_month_net20_return,worst_month,worst_month_net20_return,median_monthly_ic_observable
ECON,9,19,47.368421052631575,11,18,61.111111111111114,-0.0004199973028224946,2025-08-01 00:00:00+00:00,0.07607438721111959,2025-07-01 00:00:00+00:00,-0.0778929300318052,0.025089743589743585
BAL,11,19,57.89473684210527,11,18,61.111111111111114,0.010833547933107202,2026-05-01 00:00:00+00:00,0.06197615383320065,2025-04-01 00:00:00+00:00,-0.06251826147703421,0.027450320512820512
SHARP,11,19,57.89473684210527,13,18,72.22222222222221,0.01603860456345907,2025-08-01 00:00:00+00:00,0.05893600400167398,2025-04-01 00:00:00+00:00,-0.07993747440417676,0.033870341262205256
